character names;puid order;puid_order offset;character order;character order offset;*model;*model offset;category;category offset;class id;class id offset;age;age offset;is_woman;is_woman offset;is_face_correct;is_face_correct offset;height;height offset;height_range;height_range offset;body_type;body_type offset;language;language offset;bag_type;bag_type offset;tex_skin;tex_skin offset;tex_face1;tex_face1 offset;tex_face2;tex_face2 offset;tex_face3;tex_face3 offset;tex_face4;tex_face4 offset;tex_hair1;tex_hair1 offset;tex_hair2;tex_hair2 offset;tex_tops1;tex_tops1 offset;tex_tops2;tex_tops2 offset;tex_tops3;tex_tops3 offset;tex_tops4;tex_tops4 offset;tex_btms1;tex_btms1 offset;tex_btms2;tex_btms2 offset;tex_btms3;tex_btms3 offset;dedit_category;dedit_category offset;dedit;dedit offset;face;face offset;hair;hair offset;tops;tops offset;btms;btms offset;face_flags;face_flags offset;hair_flags;hair_flags offset;tops_flags;tops_flags offset;btms_flags;btms_flags offset;cloth_physics;cloth_physics offset;shoes_kind;shoes_kind offset;auto_wrinke_scale;auto_wrinkle_scale offset;can_sit;can_sit offset;is_use_fur;is_use_fur offset
c_e06_ED_chaco;9664;73403;0;106128;9501;126282;31;126400;40;129128;5;131856;0;134584;0;134928;185;135272;0;140728;2;146184;7;148912;0;151640;0;154368;0;157096;0;159824;0;162552;0;165280;0;168008;0;170736;3;173464;16;176192;0;178920;0;181648;0;184376;0;187104;0;189832;0;192560;0;195288;0;206200;0;217112;258;228024;0;238936;0;249848;0;271664;3145728;293480;0;315296;0;337112;9;337456;0.0;340184;0;351096;1;351440
c_e07_karasu_white01;9517;72831;1;105556;3820;125996;31;126401;64;129129;6;131857;0;134584;1;134928;185;135274;0;140730;2;146185;2;148913;0;151641;0;154369;0;157097;0;159825;0;162553;0;165281;0;168009;0;170737;1;173465;0;176193;0;178921;0;181649;0;184377;0;187105;0;189833;0;192561;0;195292;0;206204;0;217116;259;228028;0;238940;0;249856;0;271672;1048576;293488;0;315304;0;337112;7;337457;1.0;340188;0;351096;0;351440
c_e07_karasu01;9518;72835;2;105560;9602;125998;31;126402;64;129130;6;131858;0;134584;1;134928;185;135276;0;140732;2;146186;2;148914;0;151642;0;154370;0;157098;0;159826;0;162554;0;165282;0;168010;0;170738;0;173466;0;176194;0;178922;0;181650;0;184378;0;187106;0;189834;0;192562;0;195296;0;206208;0;217120;259;228032;0;238944;0;249864;0;271680;1048576;293496;0;315312;0;337112;7;337458;1.0;340192;0;351096;0;351440
c_ea_com_dummy_01;3769;62759;3;95484;3775;120960;31;126403;0;129131;0;131859;0;134584;1;134928;185;135278;0;140734;0;146187;0;148915;0;151643;0;154371;0;157099;0;159827;0;162555;0;165283;0;168011;0;170739;0;173467;0;176195;0;178923;0;181651;0;184379;0;187107;0;189835;10;192563;4;195300;0;206212;0;217124;260;228036;0;238948;0;249872;0;271688;0;293504;0;315320;0;337112;0;337459;1.0;340196;1;351096;0;351440
c_ea_com_dummy_02;3770;62763;4;95488;1800;120962;31;126404;0;129132;0;131860;0;134584;1;134928;185;135280;0;140736;0;146188;0;148916;0;151644;0;154372;0;157100;0;159828;0;162556;0;165284;0;168012;0;170740;0;173468;0;176196;0;178924;0;181652;0;184380;0;187108;0;189836;10;192564;4;195304;0;206216;0;217128;261;228040;0;238952;0;249880;0;271696;0;293512;0;315328;0;337112;0;337460;1.0;340200;1;351096;0;351440
c_ea_com_dummy_03;3771;62767;5;95492;9633;120964;31;126405;0;129133;0;131861;0;134584;1;134928;185;135282;0;140738;0;146189;0;148917;0;151645;0;154373;0;157101;0;159829;0;162557;0;165285;0;168013;0;170741;0;173469;0;176197;0;178925;0;181653;0;184381;0;187109;0;189837;10;192565;4;195308;0;206220;0;217132;262;228044;0;238956;0;249888;0;271704;0;293520;0;315336;0;337112;0;337461;1.0;340204;1;351096;0;351440
c_ea_com_dummy_04;3772;62771;6;95496;9634;120966;31;126406;0;129134;0;131862;0;134584;1;134928;185;135284;0;140740;0;146190;0;148918;0;151646;0;154374;0;157102;0;159830;0;162558;0;165286;0;168014;0;170742;0;173470;0;176198;0;178926;0;181654;0;184382;0;187110;0;189838;10;192566;4;195312;0;206224;0;217136;263;228048;0;238960;0;249896;0;271712;0;293528;0;315344;0;337112;0;337462;1.0;340208;1;351096;0;351440
c_ea_com_dummy_05;3773;62775;7;95500;9635;120968;31;126407;0;129135;0;131863;0;134584;1;134928;185;135286;0;140742;0;146191;0;148919;0;151647;0;154375;0;157103;0;159831;0;162559;0;165287;0;168015;0;170743;0;173471;0;176199;0;178927;0;181655;0;184383;0;187111;0;189839;10;192567;4;195316;0;206228;0;217140;264;228052;0;238964;0;249904;0;271720;0;293536;0;315352;0;337112;0;337463;1.0;340212;1;351096;0;351440
c_ea_com_dummy_06;3774;62779;8;95504;9681;120970;31;126408;0;129136;0;131864;0;134585;1;134929;185;135288;0;140744;0;146192;0;148920;0;151648;0;154376;0;157104;0;159832;0;162560;0;165288;0;168016;0;170744;0;173472;0;176200;0;178928;0;181656;0;184384;0;187112;0;189840;10;192568;4;195320;0;206232;0;217144;265;228056;0;238968;0;249912;0;271728;0;293544;0;315360;0;337113;0;337464;1.0;340216;1;351097;0;351441
c_ea_com_dummy_07;3775;62783;9;95508;9682;120972;31;126409;0;129137;0;131865;0;134585;1;134929;185;135290;0;140746;0;146193;0;148921;0;151649;0;154377;0;157105;0;159833;0;162561;0;165289;0;168017;0;170745;0;173473;0;176201;0;178929;0;181657;0;184385;0;187113;0;189841;10;192569;4;195324;0;206236;0;217148;266;228060;0;238972;0;249920;0;271736;0;293552;0;315368;0;337113;0;337465;1.0;340220;1;351097;0;351441
c_ea_dummy;1800;62723;10;95448;9664;120942;31;126410;0;129138;0;131866;0;134585;1;134929;185;135292;0;140748;0;146194;0;148922;0;151650;0;154378;0;157106;0;159834;0;162562;0;165290;0;168018;0;170746;0;173474;0;176202;0;178930;0;181658;0;184386;0;187114;0;189842;10;192570;4;195328;1;206240;224;217152;267;228064;635;238976;165888;249928;2;271744;70254592;293560;25769803776;315376;0;337113;0;337466;1.0;340224;1;351097;0;351441
c_ea_taba_boy01;9633;73283;11;106008;6209;126222;31;126411;23;129139;0;131867;0;134585;1;134929;180;135294;0;140750;2;146195;2;148923;0;151651;0;154379;0;157107;0;159835;1;162563;0;165291;0;168019;3;170747;21;173475;0;176203;0;178931;0;181659;0;184387;0;187115;0;189843;0;192571;0;195332;2;206244;225;217156;268;228068;0;238980;6144;249936;1024;271752;7340032;293568;0;315384;0;337113;8;337467;1.0;340228;1;351097;0;351441
c_ea_taba_worker01;9634;73287;12;106012;4233;126224;31;126412;30;129140;5;131868;0;134585;1;134929;170;135296;0;140752;2;146196;2;148924;0;151652;0;154380;0;157108;0;159836;1;162564;0;165292;0;168020;1;170748;0;173476;0;176204;0;178932;0;181660;0;184388;0;187116;0;189844;1;192572;27;195336;3;206248;226;217160;269;228072;0;238984;6144;249944;1024;271760;11534336;293576;0;315392;0;337113;8;337468;1.0;340232;1;351097;0;351441
c_ea_taba_worker02;9635;73291;13;106016;8977;126226;31;126413;30;129141;6;131869;0;134585;1;134929;175;135298;0;140754;2;146197;2;148925;0;151653;0;154381;0;157109;0;159837;1;162565;0;165293;0;168021;1;170749;0;173477;1;176205;0;178933;1;181661;0;184389;0;187117;0;189845;1;192573;26;195340;4;206252;226;217164;270;228076;0;238988;137216;249952;1024;271768;145752064;293584;0;315400;0;337113;8;337469;1.0;340236;1;351097;0;351441
c_el_yagami_base_head_high;9681;73471;14;106196;9539;126316;31;126414;0;129142;0;131870;0;134585;0;134929;185;135300;0;140756;0;146198;0;148926;0;151654;0;154382;0;157110;0;159838;0;162566;0;165294;0;168022;0;170750;0;173478;0;176206;0;178934;0;181662;0;184390;0;187118;0;189846;0;192574;0;195344;5;206256;0;217168;271;228080;0;238992;0;249960;0;271776;0;293592;0;315408;1;337113;0;337470;1.0;340240;1;351097;0;351441
c_el_yagami_sepia_high;9682;73475;15;106200;9541;126318;31;126415;0;129143;0;131871;0;134585;0;134929;185;135302;0;140758;0;146199;0;148927;0;151655;0;154383;0;157111;0;159839;0;162567;0;165295;0;168023;0;170751;0;173479;0;176207;0;178935;0;181663;0;184391;0;187119;0;189847;0;192575;0;195348;5;206260;0;217172;271;228084;0;238996;0;249968;0;271784;0;293600;0;315416;1;337113;0;337471;1.0;340244;1;351097;0;351441
