character names;puid order;puid_order offset;character order;character order offset;*model;*model offset;is_reuse;is_reuse offset;category;category offset;class id;class id offset;age;age offset;is_woman;is_woman offset;is_face_correct;is_face_correct offset;height;height offset;height_range;height_range offset;body_type;body_type offset;language;language offset;bag_type;bag_type offset;tex_skin;tex_skin offset;tex_face1;tex_face1 offset;tex_face2;tex_face2 offset;tex_face3;tex_face3 offset;tex_face4;tex_face4 offset;tex_hair1;tex_hair1 offset;tex_hair2;tex_hair2 offset;tex_tops1;tex_tops1 offset;tex_tops2;tex_tops2 offset;tex_tops3;tex_tops3 offset;tex_tops4;tex_tops4 offset;tex_btms1;tex_btms1 offset;tex_btms2;tex_btms2 offset;tex_btms3;tex_btms3 offset;dedit_category;dedit_category offset;dedit;dedit offset;face;face offset;hair;hair offset;tops;tops offset;btms;btms offset;face_flags;face_flags offset;hair_flags;hair_flags offset;tops_flags;tops_flags offset;btms_flags;btms_flags offset;cloth_physics;cloth_physics offset;shoes_kind;shoes_kind offset;auto_wrinke_scale;auto_wrinkle_scale offset
c_ae_C04_mj_majan01;6449;74843;0;110088;7742;132178;0;133968;49;134336;0;137280;0;140224;0;143168;1;143536;185;143904;0;149784;0;155664;0;158608;0;161552;0;164496;0;167440;0;170384;0;173328;0;176272;0;179216;0;182160;0;185104;5;188048;0;190992;0;193936;0;196880;0;199824;0;202768;1;205712;4;208656;0;214536;209;226288;228;238040;638;249792;6144;261544;2;285040;5242880;308536;42949672960;332032;0;355528;1;355896;0.0;358840
c_e06_cat;7868;77903;1;113148;7310;133708;0;133968;49;134337;0;137281;0;140225;0;143168;0;143536;185;143906;0;149786;0;155665;0;158609;0;161553;0;164497;0;167441;0;170385;0;173329;0;176273;0;179217;0;182161;10;185105;0;188049;0;190993;0;193937;0;196881;0;199825;0;202769;0;205713;0;208658;4294967295;214540;4294967295;226292;229;238044;4294967295;249796;0;261552;0;285048;3145728;308544;0;332040;0;355528;9;355897;1.0;358844
c_ea_16bit_mus_01;7475;76927;2;112172;5177;133220;0;133968;49;134338;35;137282;5;140226;0;143168;1;143536;185;143908;10;149788;3;155666;2;158610;0;161554;0;164498;0;167442;0;170386;2;173330;0;176274;3;179218;0;182162;0;185106;16;188050;0;190994;0;193938;3;196882;2;199826;0;202770;26;205714;1094;208660;1;214544;210;226296;230;238048;639;249800;88064;261560;2;285056;3145728;308552;163208757248;332048;0;355528;1;355898;1.0;358848
c_ea_16bit_mus_02;7476;76931;3;112176;5178;133222;0;133968;49;134339;35;137283;5;140227;0;143168;1;143536;185;143910;10;149790;3;155667;2;158611;0;161555;0;164499;0;167443;0;170387;6;173331;0;176275;0;179219;0;182163;5;185107;4;188051;0;190995;5;193939;13;196883;1;199827;0;202771;26;205715;1068;208662;2;214548;210;226300;231;238052;640;249804;6144;261568;0;285064;9437184;308560;42949672960;332056;0;355528;1;355899;1.0;358852
c_ea_16bit_mus_03;7477;76935;4;112180;5179;133224;0;133968;49;134340;35;137284;5;140228;0;143168;1;143536;185;143912;10;149792;3;155668;2;158612;0;161556;0;164500;0;167444;0;170388;1;173332;0;176276;3;179220;0;182164;0;185108;2;188052;0;190996;0;193940;0;196884;0;199828;0;202772;26;205716;1085;208664;3;214552;211;226304;232;238056;641;249808;153600;261576;2;285072;5242880;308568;25769803776;332064;0;355528;5;355900;1.0;358856
c_ea_16bit_mus_04;7478;76939;5;112184;5180;133226;0;133968;49;134341;35;137285;5;140229;0;143168;1;143536;185;143914;10;149794;3;155669;2;158613;0;161557;0;164501;0;167445;0;170389;0;173333;0;176277;0;179221;0;182165;4;185109;0;188053;0;190997;1;193941;0;196885;4;199829;0;202773;26;205717;1094;208666;1;214556;211;226308;233;238060;642;249812;71680;261584;4;285080;143654912;308576;42949672960;332072;0;355528;2;355901;1.0;358860
c_ea_16bit_mus_05;7479;76943;6;112188;5181;133228;0;133968;49;134342;35;137286;5;140230;0;143168;1;143536;185;143916;10;149796;3;155670;2;158614;0;161558;0;164502;0;167446;0;170390;0;173334;0;176278;4;179222;2;182166;2;185110;10;188054;0;190998;3;193942;0;196886;1;199830;0;202774;26;205718;1081;208668;2;214560;212;226312;234;238064;639;249816;153600;261592;52776558133248;285088;137363456;308584;42949672960;332080;0;355528;2;355902;1.0;358864
c_ea_16bit_nrl_01;7460;76867;7;112112;5162;133190;0;133968;49;134343;35;137287;5;140231;0;143168;1;143536;185;143918;10;149798;2;155671;2;158615;0;161559;0;164503;0;167447;0;170391;0;173335;0;176279;4;179223;4;182167;0;185111;4;188055;5;190999;0;193943;0;196887;2;199831;0;202775;26;205719;1065;208670;4;214564;212;226316;235;238068;643;249820;22528;261600;1026;285096;204472320;308592;42949672960;332088;0;355528;2;355903;1.0;358868
c_ea_16bit_nrl_02;7461;76871;8;112116;5163;133192;0;133969;49;134344;35;137288;5;140232;0;143169;1;143537;185;143920;10;149800;2;155672;2;158616;0;161560;0;164504;0;167448;0;170392;0;173336;0;176280;0;179224;3;182168;0;185112;15;188056;0;191000;1;193944;0;196888;2;199832;0;202776;26;205720;1082;208672;5;214568;212;226320;236;238072;643;249824;169984;261608;4398046511108;285104;3145728;308600;180388626432;332096;0;355529;2;355904;1.0;358872
c_ea_16bit_nrl_03;7462;76875;9;112120;5164;133194;0;133969;49;134345;35;137289;5;140233;0;143169;1;143537;185;143922;10;149802;2;155673;2;158617;0;161561;0;164505;0;167449;0;170393;0;173337;0;176281;4;179225;0;182169;3;185113;0;188057;2;191001;0;193945;1;196889;3;199833;0;202777;26;205721;1072;208674;6;214572;213;226324;237;238076;644;249828;153600;261616;2;285112;3145728;308608;180388626432;332104;0;355529;2;355905;1.0;358876
c_ea_16bit_nrl_04;7463;76879;10;112124;5165;133196;0;133969;49;134346;35;137290;5;140234;0;143169;1;143537;185;143924;10;149804;2;155674;2;158618;0;161562;0;164506;0;167450;0;170394;0;173338;0;176282;0;179226;5;182170;2;185114;0;188058;0;191002;5;193946;11;196890;2;199834;0;202778;26;205722;1085;208676;5;214576;212;226328;238;238080;638;249832;71680;261624;26388279066632;285120;412090368;308616;42949672960;332112;0;355529;1;355906;1.0;358880
c_ea_16bit_nrl_05;7464;76883;11;112128;5166;133198;0;133969;49;134347;35;137291;5;140235;0;143169;1;143537;185;143926;10;149806;2;155675;2;158619;0;161563;0;164507;0;167451;0;170395;5;173339;0;176283;3;179227;0;182171;0;185115;10;188059;4;191003;0;193947;0;196891;2;199835;9;202779;26;205723;1073;208678;7;214580;213;226332;235;238084;645;249836;88064;261632;2;285128;70254592;308624;180388626432;332120;0;355529;2;355907;1.0;358884
c_ea_16bit_nrl_06;7465;76887;12;112132;5167;133200;0;133969;49;134348;35;137292;5;140236;0;143169;1;143537;185;143928;10;149808;2;155676;2;158620;0;161564;0;164508;0;167452;0;170396;0;173340;0;176284;6;179228;4;182172;2;185116;14;188060;0;191004;0;193948;0;196892;0;199836;0;202780;26;205724;1079;208680;8;214584;209;226336;239;238088;644;249840;55296;261640;64;285136;3145728;308632;25769803776;332128;0;355529;2;355908;1.0;358888
c_ea_16bit_nrl_07;7466;76891;13;112136;5168;133202;0;133969;49;134349;35;137293;5;140237;0;143169;1;143537;185;143930;10;149810;2;155677;2;158621;0;161565;0;164509;0;167453;0;170397;0;173341;0;176285;4;179229;0;182173;0;185117;13;188061;0;191005;2;193949;8;196893;2;199837;0;202781;26;205725;1080;208682;9;214588;209;226340;236;238092;638;249844;6144;261648;32;285144;9437184;308640;180388626432;332136;0;355529;1;355909;1.0;358892
c_ea_16bit_nrl_08;7467;76895;14;112140;5169;133204;0;133969;49;134350;35;137294;5;140238;0;143169;1;143537;185;143932;10;149812;2;155678;2;158622;0;161566;0;164510;0;167454;0;170398;0;173342;0;176286;0;179230;4;182174;2;185118;6;188062;0;191006;0;193950;25;196894;0;199838;0;202782;26;205726;1074;208684;10;214592;212;226344;240;238096;638;249848;153600;261656;8796093023242;285152;3145728;308648;42949672960;332144;0;355529;1;355910;1.0;358896
c_ea_16bit_nrl_09;7468;76899;15;112144;5170;133206;0;133969;49;134351;35;137295;5;140239;0;143169;1;143537;185;143934;10;149814;2;155679;2;158623;0;161567;0;164511;0;167455;0;170399;0;173343;0;176287;3;179231;0;182175;0;185119;15;188063;0;191007;0;193951;0;196895;1;199839;0;202783;26;205727;1073;208686;11;214596;213;226348;241;238100;646;249852;88064;261664;4;285160;5242880;308656;25769803776;332152;0;355529;1;355911;1.0;358900
c_ea_16bit_nrl_10;7469;76903;16;112148;5171;133208;0;133970;49;134352;35;137296;5;140240;0;143170;1;143538;185;143936;10;149816;2;155680;2;158624;0;161568;0;164512;0;167456;0;170400;6;173344;0;176288;4;179232;2;182176;5;185120;0;188064;0;191008;0;193952;0;196896;0;199840;0;202784;26;205728;1093;208688;12;214600;212;226352;237;238104;643;249856;71680;261672;4398046511104;285168;1048576;308664;214748364800;332160;0;355530;2;355912;1.0;358904
c_ea_16bit_nrl_11;7470;76907;17;112152;5172;133210;0;133970;49;134353;35;137297;5;140241;0;143170;1;143538;185;143938;10;149818;2;155681;2;158625;0;161569;0;164513;0;167457;0;170401;1;173345;0;176289;4;179233;2;182177;6;185121;8;188065;1;191009;7;193953;0;196897;0;199841;7;202785;26;205729;1073;208690;13;214604;212;226356;235;238108;647;249860;88064;261680;8796093022208;285176;204472320;308672;163208757248;332168;0;355530;1;355913;1.0;358908
c_ea_16bit_nrl_12;7471;76911;18;112156;5173;133212;0;133970;49;134354;35;137298;5;140242;0;143170;1;143538;185;143940;10;149820;2;155682;2;158626;0;161570;0;164514;0;167458;0;170402;0;173346;0;176290;3;179234;0;182178;2;185122;4;188066;0;191010;3;193954;10;196898;1;199842;0;202786;26;205730;1073;208692;4;214608;209;226360;239;238112;638;249864;55296;261688;32;285184;5242880;308680;77309411328;332176;0;355530;1;355914;1.0;358912
c_ea_16bit_nrl_13;7472;76915;19;112160;5174;133214;0;133970;49;134355;35;137299;5;140243;0;143170;1;143538;185;143942;10;149822;2;155683;2;158627;0;161571;0;164515;0;167459;0;170403;2;173347;0;176291;0;179235;8;182179;5;185123;15;188067;0;191011;0;193955;0;196899;0;199843;0;202787;26;205731;1072;208694;5;214612;212;226364;236;238116;646;249868;219136;261696;17592186044416;285192;3145728;308688;42949672960;332184;0;355530;1;355915;1.0;358916
c_ea_16bit_nrl_14;7473;76919;20;112164;5175;133216;0;133970;49;134356;35;137300;5;140244;0;143170;1;143538;185;143944;10;149824;2;155684;2;158628;0;161572;0;164516;0;167460;0;170404;2;173348;0;176292;4;179236;0;182180;1;185124;0;188068;5;191012;4;193956;0;196900;4;199844;2;202788;26;205732;1088;208696;10;214616;209;226368;238;238120;645;249872;22528;261704;64;285200;137363456;308696;180388626432;332192;0;355530;2;355916;1.0;358920
c_ea_16bit_nrl_15;7474;76923;21;112168;5176;133218;0;133970;49;134357;35;137301;5;140245;0;143170;1;143538;185;143946;10;149826;2;155685;2;158629;0;161573;0;164517;0;167461;0;170405;7;173349;0;176293;4;179237;0;182181;0;185125;10;188069;0;191013;0;193957;1;196901;0;199845;0;202789;26;205733;1065;208698;14;214620;213;226372;241;238124;647;249876;219136;261712;0;285208;3145728;308704;25769803776;332200;0;355530;1;355917;1.0;358924
c_ea_C00_kurokawa;4639;68859;22;104104;7079;129186;1;133970;49;134358;22;137302;6;140246;0;143170;1;143538;175;143948;0;149828;2;155686;2;158630;0;161574;0;164518;0;167462;0;170406;0;173350;0;176294;0;179238;0;182182;3;185126;10;188070;0;191014;0;193958;3;196902;0;199846;0;202790;20;205734;791;208700;15;214624;4294967295;226376;242;238128;638;249880;6144;261720;0;285216;3145728;308712;25769803776;332208;0;355530;1;355918;1.0;358928
c_ea_C00_morita;6609;75359;23;110604;6499;132436;1;133970;49;134359;22;137303;6;140247;0;143170;1;143538;175;143950;0;149830;2;155687;2;158631;0;161575;0;164519;0;167463;0;170407;0;173351;0;176295;0;179239;0;182183;5;185127;6;188071;0;191015;0;193959;5;196903;0;199847;0;202791;3;205735;130;208702;16;214628;209;226380;243;238132;638;249884;38912;261728;0;285224;405798912;308720;25769803776;332216;0;355530;1;355919;1.0;358932
c_ea_C00_tamura;4640;68863;24;104108;7080;129188;1;133971;49;134360;22;137304;6;140248;0;143171;1;143539;185;143952;0;149832;2;155688;2;158632;0;161576;0;164520;0;167464;0;170408;0;173352;0;176296;0;179240;0;182184;0;185128;0;188072;0;191016;0;193960;0;196904;0;199848;0;202792;9;205736;427;208704;8;214632;209;226384;244;238136;638;249888;38912;261736;2;285232;412090368;308728;25769803776;332224;0;355531;1;355920;1.0;358936
c_ea_C01_chinpira01;4641;68867;25;104112;7081;129190;1;133971;49;134361;11;137305;6;140249;0;143171;1;143539;175;143954;0;149834;2;155689;2;158633;0;161577;0;164521;0;167465;0;170409;0;173353;0;176297;0;179241;0;182185;8;185129;6;188073;0;191017;1;193961;1;196905;2;199849;1;202793;20;205737;788;208706;17;214636;213;226388;245;238140;647;249892;137216;261744;4;285240;472907776;308736;25769803776;332232;0;355531;1;355921;1.0;358940
c_ea_C01_chinpira02;4642;68871;26;104116;7082;129192;1;133971;49;134362;11;137306;6;140250;0;143171;1;143539;175;143956;0;149836;2;155690;2;158634;0;161578;0;164522;0;167466;0;170410;0;173354;0;176298;3;179242;0;182186;0;185130;0;188074;0;191018;0;193962;0;196906;2;199850;10;202794;20;205738;817;208708;18;214640;209;226392;246;238144;638;249896;6144;261752;8;285248;9437184;308744;42949672960;332240;0;355531;1;355922;1.0;358944
c_ea_C01_chinpira03;4643;68875;27;104120;7083;129194;1;133971;49;134363;11;137307;6;140251;0;143171;1;143539;175;143958;0;149838;2;155691;2;158635;0;161579;0;164523;0;167467;0;170411;5;173355;0;176299;4;179243;0;182187;0;185131;20;188075;0;191019;3;193963;6;196907;1;199851;0;202795;20;205739;787;208710;19;214644;209;226396;247;238148;648;249900;219136;261760;0;285256;139460608;308752;42949672960;332248;0;355531;2;355923;1.0;358948
c_ea_C01_chinpira04;4644;68879;28;104124;7084;129196;1;133971;49;134364;11;137308;6;140252;0;143171;1;143539;180;143960;0;149840;2;155692;2;158636;0;161580;0;164524;0;167468;0;170412;1;173356;0;176300;3;179244;0;182188;0;185132;20;188076;0;191020;0;193964;0;196908;5;199852;0;202796;20;205740;785;208712;20;214648;209;226400;247;238152;643;249904;71680;261768;8;285264;139460608;308760;163208757248;332256;0;355531;1;355924;1.0;358952
c_ea_C01_chinpira05;4645;68883;29;104128;7085;129198;1;133971;49;134365;11;137309;5;140253;0;143171;1;143539;180;143962;0;149842;2;155693;2;158637;0;161581;0;164525;0;167469;0;170413;0;173357;0;176301;0;179245;0;182189;0;185133;9;188077;0;191021;0;193965;3;196909;5;199853;0;202797;20;205741;783;208714;6;214652;213;226404;247;238156;645;249908;137216;261776;4;285272;143654912;308768;25769803776;332264;0;355531;2;355925;1.0;358956
c_ea_C01_chinpira06;4646;68887;30;104132;7086;129200;1;133971;49;134366;11;137310;5;140254;0;143171;1;143539;175;143964;0;149844;2;155694;2;158638;0;161582;0;164526;0;167470;0;170414;0;173358;0;176302;0;179246;0;182190;25;185134;1;188078;0;191022;0;193966;0;196910;0;199854;0;202798;20;205742;789;208716;12;214656;209;226408;241;238160;649;249912;169984;261784;4;285280;143654912;308776;163208757248;332272;0;355531;1;355926;1.0;358960
c_ea_C01_chinpira07;4647;68891;31;104136;7087;129202;1;133971;49;134367;11;137311;5;140255;0;143171;1;143539;175;143966;0;149846;2;155695;2;158639;0;161583;0;164527;0;167471;0;170415;5;173359;0;176303;3;179247;0;182191;0;185135;2;188079;0;191023;5;193967;1;196911;1;199855;1;202799;20;205743;817;208718;5;214660;209;226412;238;238164;644;249916;219136;261792;0;285288;137363456;308784;180388626432;332280;0;355531;2;355927;1.0;358964
c_ea_C01_chinpira08;4648;68895;32;104140;7088;129204;1;133972;49;134368;11;137312;5;140256;0;143172;1;143540;175;143968;0;149848;2;155696;2;158640;0;161584;0;164528;0;167472;0;170416;0;173360;0;176304;4;179248;0;182192;0;185136;10;188080;0;191024;0;193968;0;196912;1;199856;9;202800;20;205744;794;208720;12;214664;213;226416;248;238168;645;249920;88064;261800;2;285296;5242880;308792;163208757248;332288;0;355532;2;355928;1.0;358968
c_ea_C01_chinpira14;7786;77599;33;112844;4338;133556;1;133972;49;134369;11;137313;5;140257;0;143172;1;143540;175;143970;0;149850;2;155697;2;158641;0;161585;0;164529;0;167473;0;170417;0;173361;0;176305;3;179249;0;182193;0;185137;10;188081;0;191025;0;193969;0;196913;1;199857;12;202801;8;205745;378;208722;21;214668;213;226420;239;238172;645;249924;22528;261808;2;285304;1048576;308800;163208757248;332296;0;355532;2;355929;1.0;358972
c_ea_C01_chinpira15;7787;77603;34;112848;4339;133558;1;133972;49;134370;11;137314;5;140258;0;143172;1;143540;175;143972;0;149852;2;155698;2;158642;0;161586;0;164530;0;167474;0;170418;0;173362;0;176306;0;179250;0;182194;0;185138;2;188082;0;191026;0;193970;0;196914;2;199858;9;202802;20;205746;801;208724;17;214672;209;226424;236;238176;647;249928;153600;261816;64;285312;5242880;308808;180388626432;332304;0;355532;2;355930;1.0;358976
c_ea_C01_chinpira16;7788;77607;35;112852;4337;133560;1;133972;49;134371;11;137315;5;140259;0;143172;1;143540;175;143974;0;149854;2;155699;2;158643;0;161587;0;164531;0;167475;0;170419;7;173363;0;176307;0;179251;0;182195;2;185139;10;188083;0;191027;2;193971;0;196915;3;199859;9;202803;20;205747;793;208726;13;214676;213;226428;238;238180;643;249932;219136;261824;0;285320;139460608;308816;214748364800;332312;0;355532;2;355931;1.0;358980
c_ea_C01_dai_chinpira09;4649;68899;36;104144;7089;129206;1;133972;49;134372;11;137316;6;140260;0;143172;1;143540;175;143976;0;149856;2;155700;2;158644;0;161588;0;164532;0;167476;0;170420;0;173364;0;176308;0;179252;0;182196;4;185140;0;188084;0;191028;0;193972;0;196916;0;199860;0;202804;1;205748;5;208728;6;214680;213;226432;240;238184;645;249936;137216;261832;2;285328;70254592;308824;25769803776;332320;0;355532;2;355932;1.0;358984
