character names;puid order;puid_order offset;character order;character order offset;*character;*character offset;category;category offset;class id;class id offset;age;age offset;is_woman;is_woman offset;height;height offset;height_range;height_range offset;body_type;body_type offset;language;language offset;voicer;voicer offset;face_target;face_target offset;tex_skin;tex_skin offset;tex_face1;tex_face1 offset;tex_face2;tex_face2 offset;tex_face3;tex_face3 offset;tex_face4;tex_face4 offset;tex_hair1;tex_hair1 offset;tex_hair2;tex_hair2 offset;tex_tops1;tex_tops1 offset;tex_tops2;tex_tops2 offset;tex_tops3;tex_tops3 offset;tex_tops4;tex_tops4 offset;tex_btms1;tex_btms1 offset;tex_btms2;tex_btms2 offset;tex_btms3;tex_btms3 offset;dedit_category;dedit_category offset;dedit;dedit offset;face;face offset;hair;hair offset;tops;tops offset;btms;btms offset;face_flags;face_flags offset;hair_flags;hair_flags offset;tops_flags;tops_flags offset;btms_flags;btms_flags offset;bag_type;bag_type offset;is_face_correct;is_face_correct offset;is_invalid;is_invalid offset;org_id;org_id offset;is_reuse;is_reuse offset
c_e00_mg_octopus_01;5062;111496;0;151852;4683;173748;20;175788;0;179152;0;182516;0;185880;185;186304;0;193032;0;199760;0;203124;0;206488;4294967295;213216;0;226668;0;230032;0;233396;0;236760;0;240124;0;243488;0;246852;0;250216;0;253580;0;256944;0;260308;0;263672;0;267036;0;270400;0;273764;0;277128;4294967295;283856;4294967295;297308;242;310760;4294967295;324212;0;337664;0;364568;1048576;391472;0;418376;0;445280;1;448644;0;449068;0;449492;0;456220
c_e00_mg_takoboss_01;5377;112676;1;153032;5293;174338;20;175789;0;179153;0;182517;0;185880;185;186306;0;193034;0;199761;0;203125;0;206490;4294967295;213220;0;226669;0;230033;0;233397;0;236761;0;240125;0;243489;0;246853;0;250217;0;253581;0;256945;0;260309;0;263673;0;267037;0;270401;0;273765;0;277130;4294967295;283860;4294967295;297312;242;310764;4294967295;324216;0;337672;0;364576;1048576;391480;0;418384;0;445281;1;448644;0;449068;0;449494;0;456220
c_e05_C01_cat_01;4402;109380;2;149736;3534;172690;3;175790;40;179154;0;182518;0;185880;185;186308;0;193036;0;199762;0;203126;380;206492;4294967295;213224;0;226670;0;230034;0;233398;0;236762;0;240126;0;243490;0;246854;0;250218;0;253582;0;256946;0;260310;0;263674;0;267038;0;270402;0;273766;0;277132;4294967295;283864;4294967295;297316;243;310768;4294967295;324220;0;337680;0;364584;1048576;391488;0;418392;0;445282;1;448644;0;449068;0;449496;0;456220
c_e05_C01_cat_02;4403;109384;3;149740;3535;172692;3;175791;40;179155;0;182519;0;185880;185;186310;0;193038;0;199763;0;203127;381;206494;4294967295;213228;0;226671;0;230035;0;233399;0;236763;0;240127;0;243491;0;246855;4;250219;0;253583;0;256947;0;260311;0;263675;0;267039;0;270403;0;273767;0;277134;4294967295;283868;4294967295;297320;243;310772;4294967295;324224;0;337688;0;364592;1048576;391496;0;418400;0;445283;1;448644;0;449068;0;449498;0;456220
c_e05_C01_cat_03;4404;109388;4;149744;3536;172694;3;175792;40;179156;0;182520;0;185880;185;186312;0;193040;0;199764;0;203128;382;206496;4294967295;213232;0;226672;0;230036;0;233400;0;236764;0;240128;0;243492;0;246856;6;250220;0;253584;0;256948;0;260312;0;263676;0;267040;0;270404;0;273768;0;277136;4294967295;283872;4294967295;297324;243;310776;4294967295;324228;0;337696;0;364600;1048576;391504;0;418408;0;445284;1;448644;0;449068;0;449500;0;456220
c_e06_h_cat_01;4405;109392;5;149748;3537;172696;14;175793;40;179157;0;182521;0;185880;185;186314;10;193042;0;199765;0;203129;380;206498;4294967295;213236;0;226673;0;230037;0;233401;0;236765;0;240129;0;243493;0;246857;0;250221;0;253585;0;256949;0;260313;0;263677;0;267041;0;270405;0;273769;0;277138;4294967295;283876;4294967295;297328;244;310780;4294967295;324232;0;337704;0;364608;3145728;391512;0;418416;0;445285;1;448644;0;449068;0;449502;0;456220
c_e06_h_cat_02;4406;109396;6;149752;3538;172698;14;175794;40;179158;0;182522;0;185880;185;186316;10;193044;0;199766;0;203130;381;206500;4294967295;213240;0;226674;0;230038;0;233402;0;236766;0;240130;0;243494;0;246858;2;250222;0;253586;0;256950;0;260314;0;263678;0;267042;0;270406;0;273770;0;277140;4294967295;283880;4294967295;297332;244;310784;4294967295;324236;0;337712;0;364616;3145728;391520;0;418424;0;445286;1;448644;0;449068;0;449504;0;456220
c_e06_h_cat_03;4407;109400;7;149756;3539;172700;14;175795;40;179159;0;182523;0;185880;185;186318;10;193046;0;199767;0;203131;382;206502;4294967295;213244;0;226675;0;230039;0;233403;0;236767;0;240131;0;243495;0;246859;7;250223;0;253587;0;256951;0;260315;0;263679;0;267043;0;270407;0;273771;0;277142;4294967295;283884;4294967295;297336;244;310788;4294967295;324240;0;337720;0;364624;3145728;391528;0;418432;0;445287;1;448644;0;449068;0;449506;0;456220
c_e06_h_cat_04;4408;109404;8;149760;3540;172702;14;175796;40;179160;0;182524;0;185881;185;186320;10;193048;0;199768;0;203132;383;206504;4294967295;213248;0;226676;0;230040;0;233404;0;236768;0;240132;0;243496;0;246860;11;250224;0;253588;0;256952;0;260316;0;263680;0;267044;0;270408;0;273772;0;277144;4294967295;283888;4294967295;297340;244;310792;4294967295;324244;0;337728;0;364632;3145728;391536;0;418440;0;445288;1;448645;0;449069;0;449508;0;456221
c_e06_h_cat_05;4409;109408;9;149764;3541;172704;14;175797;40;179161;0;182525;0;185881;185;186322;10;193050;0;199769;0;203133;384;206506;4294967295;213252;0;226677;0;230041;0;233405;0;236769;0;240133;0;243497;0;246861;17;250225;0;253589;0;256953;0;260317;0;263681;0;267045;0;270409;0;273773;0;277146;4294967295;283892;4294967295;297344;244;310796;4294967295;324248;0;337736;0;364640;3145728;391544;0;418448;0;445289;1;448645;0;449069;0;449510;0;456221
