character names;puid order;puid_order offset;character order;character order offset;*model;*model offset;category;category offset;class id;class id offset;age;age offset;is_woman;is_woman offset;is_face_correct;is_face_correct offset;height;height offset;height_range;height_range offset;body_type;body_type offset;language;language offset;bag_type;bag_type offset;tex_skin;tex_skin offset;tex_face1;tex_face1 offset;tex_face2;tex_face2 offset;tex_face3;tex_face3 offset;tex_face4;tex_face4 offset;tex_hair1;tex_hair1 offset;tex_hair2;tex_hair2 offset;tex_tops1;tex_tops1 offset;tex_tops2;tex_tops2 offset;tex_tops3;tex_tops3 offset;tex_tops4;tex_tops4 offset;tex_btms1;tex_btms1 offset;tex_btms2;tex_btms2 offset;tex_btms3;tex_btms3 offset;dedit_category;dedit_category offset;dedit;dedit offset;face;face offset;hair;hair offset;tops;tops offset;btms;btms offset;face_flags;face_flags offset;hair_flags;hair_flags offset;tops_flags;tops_flags offset;btms_flags;btms_flags offset;cloth_physics;cloth_physics offset;shoes_kind;shoes_kind offset;auto_wrinke_scale;auto_wrinkle_scale offset;can_sit;can_sit offset;is_use_fur;is_use_fur offset;ui_face_texture;ui_face_texture offset
c_e13_hato;10526;107747;0;165504;12740;206090;31;213744;64;218560;5;228192;0;233008;1;233616;185;234220;0;243848;2;253480;2;258296;0;263112;0;267928;0;272744;0;277560;0;282376;0;287192;0;292008;0;296824;0;301640;0;306456;0;311272;0;316088;0;320904;0;325720;0;330536;0;335352;0;340168;0;359424;0;378680;360;397936;0;417192;0;436448;0;474952;0;513456;0;551960;0;590464;7;591068;1.0;595888;1;615144;0;615749;0;616356
c_e53_kuidaore;7999;105231;1;162988;12192;204832;31;213745;27;218562;5;228193;0;233008;1;233616;185;234222;0;243850;2;253481;3;258297;0;263113;0;267929;0;272745;0;277561;0;282377;0;287193;0;292009;0;296825;0;301641;0;306457;0;311273;0;316089;0;320905;0;325721;0;330537;0;335353;0;340172;0;359428;0;378684;361;397940;0;417196;0;436456;0;474960;0;513464;0;551968;0;590464;7;591069;1.0;595892;1;615144;0;615749;0;616358
c_ea_com_dummy_01;3769;103843;2;161600;6381;204138;31;213746;0;218564;0;228194;0;233008;0;233616;170;234224;0;243852;0;253482;0;258298;0;263114;0;267930;0;272746;0;277562;0;282378;0;287194;0;292010;0;296826;1;301642;0;306458;0;311274;0;316090;0;320906;0;325722;0;330538;0;335354;0;340176;0;359432;0;378688;362;397944;0;417200;0;436464;0;474968;1048576;513472;0;551976;0;590464;0;591070;1.0;595896;0;615144;0;615749;0;616360
c_ea_com_dummy_02;3770;103847;3;161604;6382;204140;31;213747;0;218566;0;228195;0;233008;0;233616;170;234226;0;243854;0;253483;0;258299;0;263115;0;267931;0;272747;0;277563;0;282379;0;287195;0;292011;0;296827;2;301643;0;306459;0;311275;0;316091;0;320907;0;325723;0;330539;0;335355;0;340180;0;359436;0;378692;362;397948;0;417204;0;436472;0;474976;1048576;513480;0;551984;0;590464;0;591071;1.0;595900;0;615144;0;615749;0;616362
c_ea_com_dummy_03;3771;103851;4;161608;6383;204142;31;213748;0;218568;0;228196;0;233008;0;233616;170;234228;0;243856;0;253484;0;258300;0;263116;0;267932;0;272748;0;277564;0;282380;0;287196;0;292012;0;296828;3;301644;0;306460;0;311276;0;316092;0;320908;0;325724;0;330540;0;335356;0;340184;0;359440;0;378696;362;397952;0;417208;0;436480;0;474984;1048576;513488;0;551992;0;590464;0;591072;1.0;595904;0;615144;0;615749;0;616364
c_ea_com_dummy_04;3772;103855;5;161612;6384;204144;31;213749;0;218570;0;228197;0;233008;0;233616;170;234230;0;243858;0;253485;0;258301;0;263117;0;267933;0;272749;0;277565;0;282381;0;287197;0;292013;0;296829;4;301645;0;306461;0;311277;0;316093;0;320909;0;325725;0;330541;0;335357;0;340188;0;359444;0;378700;362;397956;0;417212;0;436488;0;474992;1048576;513496;0;552000;0;590464;0;591073;1.0;595908;0;615144;0;615749;0;616366
c_ea_com_dummy_05;3773;103859;6;161616;6385;204146;31;213750;0;218572;0;228198;0;233008;0;233616;170;234232;0;243860;0;253486;0;258302;0;263118;0;267934;0;272750;0;277566;0;282382;0;287198;0;292014;0;296830;5;301646;0;306462;0;311278;0;316094;0;320910;0;325726;0;330542;0;335358;0;340192;0;359448;0;378704;362;397960;0;417216;0;436496;0;475000;1048576;513504;0;552008;0;590464;0;591074;1.0;595912;0;615144;0;615749;0;616368
c_ea_com_dummy_06;3774;103863;7;161620;7887;204148;31;213751;0;218574;0;228199;0;233008;0;233616;170;234234;0;243862;0;253487;0;258303;0;263119;0;267935;0;272751;0;277567;0;282383;0;287199;0;292015;0;296831;6;301647;0;306463;0;311279;0;316095;0;320911;0;325727;0;330543;0;335359;0;340196;0;359452;0;378708;362;397964;0;417220;0;436504;0;475008;1048576;513512;0;552016;0;590464;0;591075;1.0;595916;0;615144;0;615749;0;616370
c_ea_com_dummy_07;3775;103867;8;161624;10847;204150;31;213752;0;218576;0;228200;0;233009;0;233617;170;234236;0;243864;0;253488;0;258304;0;263120;0;267936;0;272752;0;277568;0;282384;0;287200;0;292016;0;296832;7;301648;0;306464;0;311280;0;316096;0;320912;0;325728;0;330544;0;335360;0;340200;0;359456;0;378712;362;397968;0;417224;0;436512;0;475016;1048576;513520;0;552024;0;590465;0;591076;1.0;595920;0;615145;0;615750;0;616372
c_em_doujima;10833;108907;9;166664;12984;206670;31;213753;3;218578;0;228201;0;233009;0;233617;170;234238;0;243866;0;253489;2;258305;0;263121;0;267937;0;272753;0;277569;0;282385;0;287201;0;292017;0;296833;0;301649;0;306465;0;311281;0;316097;0;320913;0;325729;0;330545;0;335361;0;340204;0;359460;0;378716;363;397972;0;417228;0;436520;0;475024;0;513528;0;552032;0;590465;1;591077;1.0;595924;1;615145;0;615750;0;616374
