parts;part id
c_ca_f_30A;0
c_ca_f_30B;1
c_ca_f_30C;2
c_ca_f_40A;3
c_ca_f_40B;4
c_ca_f_50A;5
c_ca_f_50B;6
c_ca_f_50C;7
c_ca_f_60A;8
c_ca_f_60B;9
c_ca_f_20A;10
c_ca_f_20B;11
c_ca_f_20C;12
c_ca_f_20D;13
c_ca_f_B30A;14
c_ca_f_B30B;15
c_ca_f_B30C;16
c_ca_f_B30D;17
c_ca_f_B30E;18
c_ca_f_B20A;19
c_ca_f_B20B;20
c_ca_f_B20C;21
c_ca_f_B20D;22
c_ca_f_B20E;23
c_ca_f_10C;24
c_ca_f_10B;25
c_ca_f_30D;26
c_ca_f_30E;27
c_ca_f_30F;28
c_ca_f_40C;29
c_ca_f_40D;30
c_ca_f_40E;31
c_ca_f_10A;32
c_ca_f_50D;33
c_ca_f_30G;34
c_ca_f_30H;35
c_ca_f_60E;36
c_ca_f_B30F;37
c_ca_f_B20G;38
c_ca_f_30I;39
c_ca_f_B10B;40
c_ca_f_B40A_mus;41
c_ca_f_B20F;42
c_ca_f_B40C;43
c_ca_f_B40B;44
c_ca_f_B30H;45
c_ca_f_B30G;46
c_ca_f_60F;47
c_ca_f_B10A;48
c_ca_f_20D_jingmask;49
c_ca_f_30E_jingmask;50
c_ca_f_B30E_jingmask;51
c_ca_f_B10A_fat;52
c_ca_f_B20A_fat;53
c_ca_f_B30A_fat;54
c_ca_f_B10A_mus;55
c_ca_f_B20A_mus;56
c_ca_f_B30A_mus;57
c_ca_f_B20H;58
c_ca_f_B20I;59
c_ca_f_B30C_skimask;60
c_ca_f_10A_skimask;61
c_ca_f_B40A;62
c_ca_f_B40D;63
c_ca_f_B40E;64
c_ca_f_B50A;65
c_ca_f_B50B;66
c_ca_f_B50C;67
c_ca_f_60C;68
c_ca_f_C12_fmatunaga_bd;69
c_ca_f_C12_fmatunaga;70
c_ca_f_C12_fnagumo_bd;71
c_ca_f_C12_fnagumo;72
c_cw_f_00B_chd;73
c_cw_f_00D_chd;74
c_cw_f_00G_chd;75
c_ca_f_hokahage;76
c_cw_f_00C_chd;77
c_cw_f_00F_chd;78
c_ca_f_60D;79
c_ca_f_hokahless;80
c_ca_f_N30A;81
c_ca_f_W40A;82
c_ca_f_A20A;83
c_ca_f_SB01_senpai;84
c_ca_f_SB02_akamatsu;85
